,file,pre_stoi,post_stoi,delta_stoi,pre_pesq,post_pesq,delta_pesq
0,175-127696-0014.wav,0.0061086513131954345,0.03356008578522105,0.027451434472025617,1.17710542678833,1.0753555297851562,-0.10174989700317383
1,79-121541-0075.wav,0.06456311041361806,0.09124803518643199,0.026684924772813923,1.4737815856933594,1.120186448097229,-0.35359513759613037
2,192-128345-0028.wav,0.07585871273233924,0.09936003696179159,0.02350132422945235,1.2109224796295166,1.0952715873718262,-0.11565089225769043
3,98-121658-0041.wav,0.10396986178880588,0.13296995377914472,0.029000091990338844,1.4168782234191895,1.156031608581543,-0.2608466148376465
4,64-73712-0013.wav,0.15892944854649643,0.18626257513817113,0.027333126591674695,1.1793688535690308,1.0995385646820068,-0.07983028888702393
5,112-121671-0003.wav,0.043236924653646175,0.05296118453717301,0.009724259883526834,1.3652009963989258,1.1543567180633545,-0.2108442783355713
6,100-122655-0021.wav,0.045378881325800285,0.0565338613505501,0.011154980024749815,1.2246005535125732,1.0859650373458862,-0.138635516166687
7,38-121024-0107.wav,0.09320706645709075,0.14280948364701065,0.04960241718991991,1.9357990026474,1.444791555404663,-0.4910074472427368
8,112-123216-0012.wav,0.010861113492131114,0.004584419284488082,-0.006276694207643032,1.068509817123413,1.0697283744812012,0.001218557357788086
9,154-124003-0013.wav,0.03780165951866792,0.09594288467351403,0.058141225154846106,1.1208407878875732,1.0767942667007446,-0.04404652118682861
